l30,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,3,0,11,0,54,72,92,14,46,58,81,0,0,93,85,99,0,0,100,98,100,99,97,94,98,22,0,0
l31,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,17,0,75,0,84,6,25,20,94,0,0,86,47,99,98,0,0,98,100,99,97,94,98,15,0,0
l32,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,45,93,14,27,62,63,0,0,0,49,99,98,0,100,0,100,99,97,82,84,15,0,0
l33,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,1,0,62,28,0,58,67,0,0,36,34,99,98,0,100,98,0,99,88,92,30,0,0,0
l34,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,22,0,69,74,95,31,20,0,93,0,0,94,32,99,98,0,100,98,100,0,97,94,98,45,22,0
l35,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,73,0,10,0,56,55,45,22,42,59,80,0,0,94,76,98,98,0,100,98,66,99,0,94,98,0,0,0
l36,0=0,8,0,0,0,61,0,0,0,0,3,0,0,0,27,0,57,87,44,31,21,1,0,49,20,20,14,23,0,0,88,55,57,98,0,95,89,93,95,97,0,98,0,40,0
l37,0=0,0,0,0,0,34,0,0,0,0,0,0,0,0,28,0,49,87,52,56,42,63,0,84,32,21,51,57,0,0,94,86,95,98,0,100,93,29,99,97,94,0,4,0,0
l38,0=0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,0,57,66,36,74,15,66,41,73,75,87,79,75,0,0,32,0,0,26,0,1,3,0,36,0,0,0,0,81,93
l39,0=0,0,0,0,0,0,0,22,0,0,28,0,0,0,69,0,58,67,64,78,77,34,0,73,90,84,88,25,0,0,0,8,14,5,0,0,0,0,12,0,21,0,84,0,93
l40,0=0,0,0,0,0,0,0,0,0,0,0,0,10,0,47,0,27,13,28,62,76,36,45,44,90,78,80,85,0,0,36,19,0,0,0,0,0,0,0,0,0,0,84,81,0
l41,0=0,0,0,0,0,0,0,0,0,24,56,0,7,20,40,0,72,76,72,82,83,0,71,81,91,86,84,76,0,0,59,20,20,0,0,0,0,0,0,0,3,0,86,84,93
l42,0=0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,38,28,72,32,34,0,89,91,85,88,76,0,0,0,0,0,17,0,0,0,0,25,0,0,0,84,81,92
l43,0=0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,12,33,19,35,58,65,37,84,85,82,83,80,0,0,0,0,22,44,0,0,28,0,27,0,0,0,84,82,92
l44,0=0,0,0,0,0,0,0,0,0,0,0,10,0,0,38,0,19,41,33,35,30,71,50,88,90,86,87,80,0,0,0,4,7,11,0,0,0,0,23,0,0,0,82,79,93

l0,1=0,86,91,92,88,87,87,89,73,80,81,86,82,76,66,0,73,57,15,0,0,0,0,0,0,0,0,0,0,0,70,71,0,0,0,0,0,0,0,0,0,0,0,0,0
l1,1=87,0,87,87,88,86,87,89,73,64,80,86,77,80,41,0,38,50,46,51,34,0,0,0,0,3,0,0,0,0,61,71,0,0,0,0,0,0,0,0,0,0,0,0,0
